id,tanggal (WIB),waktu (WIB),lintang,bujur,tingkat kepercayaan,satelit,radius kemungkinan,kecamatan,kabupaten,provinsi,tipe
3802589,8/4/2023,13:13:01,-7.4699378,108.6368027,8,noaa20,1125,Banjarsari,Ciamis,Jawa Barat,Cluster
3802592,8/4/2023,13:13:01,-7.4609127,107.75457,8,noaa20,1125,Pakenjeng,Garut,Jawa Barat,Cluster
3802599,8/4/2023,13:13:01,-6.941411735,108.7309914,8,noaa20,1280,Pasaleman,Cirebon,Jawa Barat,Cluster
3802600,8/4/2023,13:13:01,-7.26074123,106.5233002,8,noaa20,1125,Cilacap,Sukabumi,Jawa Barat,Cluster
3802601,8/4/2023,13:13:01,-7.207420585,106.7159882,8,noaa20,1280,Kalibunder,Sukabumi,Jawa Barat,Cluster
3802602,8/4/2023,13:13:01,-7.04827452,107.7462769,7,noaa20,1125,Majalaya,Bandung,Jawa Barat,Cluster
3802603,8/4/2023,13:13:01,-7.00415754,107.5443268,8,noaa20,1125,Katapang,Bandung,Jawa Barat,Cluster
3802604,8/4/2023,13:13:01,-7.152786733,106.4571457,8,noaa20,1399,Ciemas,Sukabumi,Jawa Barat,Cluster
3802605,8/4/2023,13:13:01,-7.08562469,106.5682297,8,noaa20,1125,Simpenan,Sukabumi,Jawa Barat,Cluster
3802606,8/4/2023,13:13:01,-6.82112312,108.2173843,8,noaa20,1125,Majalengka,Majalengka,Jawa Barat,Cluster
3802607,8/4/2023,13:13:01,-7.04862261,106.6548767,8,noaa20,1125,Simpenan,Sukabumi,Jawa Barat,Cluster
3802608,8/4/2023,13:13:01,-6.80930662,107.1482697,8,noaa20,1125,Cianjur,Cianjur,Jawa Barat,Cluster
3802609,8/4/2023,13:13:01,-6.623327495,108.1678925,8,noaa20,1280,Kertajati,Majalengka,Jawa Barat,Cluster
3802610,8/4/2023,13:13:01,-6.602939287,108.1423874,8,noaa20,1399,Kertajati,Majalengka,Jawa Barat,Cluster
3802611,8/4/2023,13:13:01,-6.61597157,107.2602768,8,noaa20,1280,Sukasari,Cianjur,Jawa Barat,Cluster
3802612,8/4/2023,13:13:01,-6.44497824,107.6763535,8,noaa20,1125,Purwadadi,Subang,Jawa Barat,Cluster
3802614,8/4/2023,13:13:01,-6.21679449,106.9810333,8,noaa20,1125,Medan Satria,Bekasi,Jawa Barat,Cluster
3803128,8/4/2023,12:20:24,-6.94580269,108.7295456,8,snpp,1125,Pasaleman,Cirebon,Jawa Barat,Cluster
3803130,8/4/2023,12:20:24,-6.624958353,108.1679764,8,snpp,1399,Kertajati,Majalengka,Jawa Barat,Cluster
3803431,8/4/2023,1:26:02,-6.5478425,108.0947495,8,snpp,1125,Terisi,Indramayu,Jawa Barat,Cluster
3803433,8/4/2023,1:26:02,-6.57006502,108.1027603,8,snpp,1125,Kertajati,Majalengka,Jawa Barat,Cluster
3803434,8/4/2023,1:26:02,-6.61903572,108.1488571,8,snpp,1125,Kertajati,Majalengka,Jawa Barat,Cluster
3803592,8/4/2023,0:32:00,-6.35075665,106.9655533,8,noaa20,1125,Gunungputri,Bogor,Jawa Barat,Cluster
3803593,8/4/2023,0:32:00,-6.5486908,108.0925522,8,noaa20,1125,Terisi,Indramayu,Jawa Barat,Cluster
3803594,8/4/2023,0:32:00,-6.57197809,108.1016007,8,noaa20,1125,Kertajati,Majalengka,Jawa Barat,Cluster
3803595,8/4/2023,0:32:00,-6.61862087,108.1488571,8,noaa20,1125,Kertajati,Majalengka,Jawa Barat,Cluster
3803619,8/4/2023,0:32:00,-7.06004572,106.6064911,8,noaa20,1125,Simpenan,Sukabumi,Jawa Barat,Cluster
3803688,8/5/2023,0:14:30,-6.55040359,108.0944367,8,noaa20,1125,Terisi,Indramayu,Jawa Barat,Cluster
3803777,8/5/2023,1:05:43,-6.31334019,108.0215988,8,snpp,1125,Patrol,Indramayu,Jawa Barat,Cluster
3803780,8/5/2023,1:05:43,-6.54799509,108.0953522,8,snpp,1125,Terisi,Indramayu,Jawa Barat,Cluster
3803781,8/5/2023,1:05:43,-6.594666,108.2421722,8,snpp,1125,Jati Tujuh,Majalengka,Jawa Barat,Cluster
3803790,8/5/2023,1:05:43,-6.92494202,108.5561752,8,snpp,1125,Japara,Kuningan,Jawa Barat,Cluster
3804454,8/5/2023,12:52:42,-7.05795431,108.7283325,8,noaa20,1125,Cibeureum,Kuningan,Jawa Barat,Cluster
3804456,8/5/2023,12:52:42,-7.02699614,107.6462097,8,noaa20,1125,Baleendah,Bandung,Jawa Barat,Cluster
3804457,8/5/2023,12:52:42,-6.76031256,108.5704956,8,noaa20,1125,Mundu,Cirebon,Jawa Barat,Cluster
3804459,8/5/2023,12:52:42,-6.66501355,107.8219261,8,noaa20,1280,Cijambe,Subang,Jawa Barat,Cluster
3804460,8/5/2023,12:52:42,-6.57212973,108.2680435,8,noaa20,1125,Bagodua,Indramayu,Jawa Barat,Cluster
3804461,8/5/2023,12:52:42,-6.5653491,108.1206131,8,noaa20,1125,Kertajati,Majalengka,Jawa Barat,Cluster
3804462,8/5/2023,12:52:42,-6.58400822,107.8167191,8,noaa20,1125,Cibogo,Subang,Jawa Barat,Cluster
3804463,8/5/2023,12:52:42,-6.51612425,106.9731979,8,noaa20,1125,Klapanunggal,Bogor,Jawa Barat,Cluster
3804464,8/5/2023,12:52:42,-6.37735653,107.5144196,8,noaa20,1125,Jatisari,Karawang,Jawa Barat,Cluster
3805238,8/5/2023,13:45:19,-7.32266903,106.4078827,8,snpp,1280,Cilacap,Sukabumi,Jawa Barat,Cluster
3805239,8/5/2023,13:45:19,-7.15935516,106.5790253,8,snpp,1125,Ciemas,Sukabumi,Jawa Barat,Cluster
3805240,8/5/2023,13:45:19,-7.05935812,106.6661034,8,snpp,1280,Simpenan,Sukabumi,Jawa Barat,Cluster
3805241,8/5/2023,13:45:19,-7.04877806,106.5970001,8,snpp,1125,Simpenan,Sukabumi,Jawa Barat,Cluster
3805242,8/5/2023,13:45:19,-6.66630173,108.362381,8,snpp,1125,Susukan,Cirebon,Jawa Barat,Cluster
3805243,8/5/2023,13:45:19,-6.663735233,107.819959,8,snpp,1399,Cijambe,Subang,Jawa Barat,Cluster
3805244,8/5/2023,13:45:19,-6.59064603,108.1449013,8,snpp,1280,Kertajati,Majalengka,Jawa Barat,Cluster
3805664,8/6/2023,0:45:22,-6.16255045,107.2923203,8,snpp,1125,Rengasdengklok,Karawang,Jawa Barat,Cluster
3805666,8/6/2023,0:45:22,-6.40522099,108.423378,8,snpp,1125,Juntiyuat,Indramayu,Jawa Barat,Cluster
3805669,8/6/2023,0:45:22,-6.35335302,106.9649963,8,snpp,1125,Gunungputri,Bogor,Jawa Barat,Cluster
3805670,8/6/2023,0:45:22,-6.54818916,108.0937576,8,snpp,1125,Terisi,Indramayu,Jawa Barat,Cluster
3805683,8/6/2023,0:45:22,-6.911551,108.6074219,8,snpp,1125,Ciawi Gerbang,Kuningan,Jawa Barat,Cluster
3805732,8/6/2023,1:37:59,-6.52991676,108.2458115,8,noaa20,1125,Bangodua,Indramayu,Jawa Barat,Cluster
3805733,8/6/2023,1:37:59,-6.54544544,108.0943375,8,noaa20,1125,Terisi,Indramayu,Jawa Barat,Cluster
3805734,8/6/2023,1:37:59,-6.57646036,108.1140595,8,noaa20,1125,Kertajati,Majalengka,Jawa Barat,Cluster
3805735,8/6/2023,1:37:59,-6.70668793,108.4020615,8,noaa20,1125,Gempol,Cirebon,Jawa Barat,Cluster
3806513,8/6/2023,13:26:23,-7.15966558,106.6870728,8,snpp,1125,Lengkong,Sukabumi,Jawa Barat,Cluster
3806514,8/6/2023,13:26:23,-7.10021901,106.530983,8,snpp,1280,Simpenan,Sukabumi,Jawa Barat,Cluster
3806515,8/6/2023,13:26:23,-7.05192375,106.6632919,8,snpp,1125,Simpenan,Sukabumi,Jawa Barat,Cluster
